,X,Y,Z,,,-50,-38.89,-27.78,-16.67,-5.56,5.55,16.66,27.77,38.88,49.99,
28:01.8,-50,-50,0.54,,-50,0.54,0.46,0.26,0.17,0.08,0.03,-0.06,-0.16,-0.25,-0.33,0
28:01.8,-50,-38.89,0.46,,-38.89,0.46,0.39,0.27,0.16,0.07,0,-0.07,-0.15,-0.22,-0.32,0
28:01.8,-50,-27.78,0.47,,-27.78,0.47,0.37,0.24,0.13,0.06,0,-0.05,-0.17,-0.22,-0.27,0
28:01.8,-50,-16.67,0.4,,-16.67,0.4,0.33,0.2,0.1,0.06,-0.01,-0.06,-0.13,-0.2,-0.26,0
28:01.8,-50,-5.56,0.38,,-5.56,0.38,0.28,0.2,0.1,0.05,-0.01,-0.07,-0.12,-0.17,-0.22,0
28:01.8,-50,5.55,0.34,,5.55,0.34,0.22,0.17,0.1,0.02,-0.02,-0.09,-0.11,-0.17,-0.18,0
28:01.8,-50,16.66,0.24,,16.66,0.24,0.16,0.13,0.05,0,-0.02,-0.09,-0.11,-0.15,-0.15,0
28:01.8,-50,27.77,0.22,,27.77,0.22,0.15,0.07,0.02,0,-0.04,-0.07,-0.1,-0.1,-0.12,0
28:01.8,-50,38.88,0.17,,38.88,0.17,0.13,0.06,0,-0.03,-0.05,-0.06,-0.06,-0.06,-0.06,0
28:01.8,-50,49.99,0.13,,49.99,0.13,0.09,0.04,-0.03,-0.06,-0.06,-0.05,-0.04,-0.01,-0.01,0
28:01.8,-38.89,-50,0.46,,,0.46,0.26,0.17,0.08,0.03,-0.06,-0.16,-0.25,-0.33,0,0
28:01.8,-38.89,-38.89,0.39,,,0.39,0.27,0.16,0.07,0,-0.07,-0.15,-0.22,-0.32,0,0
28:01.8,-38.89,-27.78,0.37,,,0.37,0.24,0.13,0.06,0,-0.05,-0.17,-0.22,-0.27,0,0
28:01.8,-38.89,-16.67,0.33,,,0.33,0.2,0.1,0.06,-0.01,-0.06,-0.13,-0.2,-0.26,0,0
28:01.8,-38.89,-5.56,0.28,,,0.28,0.2,0.1,0.05,-0.01,-0.07,-0.12,-0.17,-0.22,0,0
28:01.8,-38.89,5.55,0.22,,,0.22,0.17,0.1,0.02,-0.02,-0.09,-0.11,-0.17,-0.18,0,0
28:01.8,-38.89,16.66,0.16,,,0.16,0.13,0.05,0,-0.02,-0.09,-0.11,-0.15,-0.15,0,0
28:01.8,-38.89,27.77,0.15,,,0.15,0.07,0.02,0,-0.04,-0.07,-0.1,-0.1,-0.12,0,0
28:01.8,-38.89,38.88,0.13,,,0.13,0.06,0,-0.03,-0.05,-0.06,-0.06,-0.06,-0.06,0,0
28:01.8,-38.89,49.99,0.09,,,0.09,0.04,-0.03,-0.06,-0.06,-0.05,-0.04,-0.01,-0.01,0,0
28:01.8,-27.78,-50,0.26,,,0.26,0.17,0.08,0.03,-0.06,-0.16,-0.25,-0.33,0,0,0
28:01.8,-27.78,-38.89,0.27,,,0.27,0.16,0.07,0,-0.07,-0.15,-0.22,-0.32,0,0,0
